UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MWh),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
18454,Tampa Electric Co,FL,2007R,1,75463,652531,583645,66671,666143,77409,16661,209020,1740,6,53,1,158801,1527747,662795
88888,Total EPM,FL,2007R,1,996925,9015282,0,726836,7548507,0,120792,1570620,0,,,0,1845424,18143569,0
0,State Level Adjustment,GA,2007R,1,171527,1989573,0,65929,798080,0,33810,620934,0,,,0,271266,3408587,0
3408,Chattanooga City of,GA,2007R,1,1075,14559,9714,359,4375,1246,115,1770,3,0,0,0,1549,20704,10963
3916,Cobb Electric Membership Corp,GA,2007R,1,17754,181693,173089,8153,88696,20550,1122,21646,47,0,0,0,27029,292035,193686
7140,Georgia Power Co,GA,2007R,1,182570,2350716,2004715,193449,2586896,298796,93320,2087795,8214,952,16332,1,470291,7041739,2311726
9601,Jackson Electric Member Corp,GA,2007R,1,17628,250005,182177,9064,112230,18116,2294,47335,82,0,0,0,28986,409570,200375
88888,Total EPM,GA,2007R,1,390554,4786546,0,276954,3590277,0,130661,2779480,0,,,0,799121,11172635,0
0,State Level Adjustment,HI,2007R,1,-18,4,0,-16,17,0,-9,0,0,,,0,-43,21,0
8287,Hawaii Electric Light Co Inc,HI,2007R,1,12065,41287,63366,10577,36973,13523,4921,20872,67,0,0,0,27563,99132,76956
10071,Kauai Island Utility Cooperative,HI,2007R,1,4742,14437,26598,3456,10295,4621,4449,14716,126,0,0,0,12647,39448,31345
11843,Maui Electric Co Ltd,HI,2007R,1,10388,39431,54881,8977,33281,10002,7839,33953,140,0,0,0,27204,106665,65023
19547,Hawaiian Electric Co Inc,HI,2007R,1,33096,181842,259810,32018,198088,33628,34161,249882,352,0,0,0,99275,629812,293790
88888,Total EPM,HI,2007R,1,60273,277001,0,55012,278654,0,51361,319423,0,,,0,166646,875078,0
0,State Level Adjustment,IA,2007R,1,36353,402092,0,17494,255500,0,13608,271065,0,,,0,67455,928657,0
471,Amana Society Service Co,IA,2007R,1,63,645,707,70,758,178,375,6011,1,0,0,0,508,7414,886
9417,Interstate Power and Light Co,IA,2007R,1,34853,361969,408573,22163,289332,72440,28878,604962,2581,0,0,0,85894,1256263,483594
12341,MidAmerican Energy Co,IA,2007R,1,38128,474364,539478,25533,417009,85463,25428,659386,1253,0,0,0,89089,1550759,626194
88888,Total EPM,IA,2007R,1,109397,1239070,0,65260,962599,0,68289,1541424,0,,,0,242946,3743093,0
0,State Level Adjustment,ID,2007R,1,6687,91888,0,2230,37137,0,840,18934,0,,,0,9757,147959,0
9187,Idaho Falls City of,ID,2007R,1,2328,37949,21581,1611,24400,3367,442,8800,8,0,0,0,4381,71149,24956
9191,Idaho Power Co,ID,2007R,1,30131,568712,380675,12443,336752,57297,7121,288050,16416,0,0,0,49695,1193514,454388
10454,Kootenai Electric Coop Inc,ID,2007R,1,2272,33327,19844,595,8687,1743,117,2056,46,0,0,0,2984,44070,21633
11273,Lower Valley Energy Inc,ID,2007R,1,88,1634,1216,15,276,167,152,4081,42,0,0,0,255,5991,1425
14354,PacifiCorp,ID,2007R,1,4204,89881,54099,2574,42959,7913,5723,155947,5439,0,0,0,12501,288787,67451
16565,Salmon River Electric Coop Inc,ID,2007R,1,262,3600,2015,132,2172,417,592,15136,2,0,0,0,986,20908,2434
20169,Avista Corp,ID,2007R,1,9389,143941,101195,6014,90038,16146,4400,106806,482,0,0,0,19803,340785,117823
22814,Raft Rural Elec Coop Inc,ID,2007R,1,164,2868,1237,71,1534,263,1,28,850,0,0,0,236,4430,2350
88888,Total EPM,ID,2007R,1,55525,973800,0,25685,543955,0,19388,599838,0,,,0,100598,2117593,0
0,State Level Adjustment,IL,2007R,1,30878,516780,0,88950,1243515,0,196571,3107532,0,,,0,319542,4923245,0
3252,Central Illinois Light Co,IL,2007R,1,19129,191270,196273,10766,104102,21823,3527,33749,88,0,0,0,33422,329121,218184
3253,Central Illinois Pub Serv Co,IL,2007R,1,34316,367223,338106,19856,286900,56615,12186,237305,523,60,1090,1,66418,892518,395245
4110,Commonwealth Edison Co,IL,2007R,1,274790,2674457,3406711,174146,1806897,335934,49067,470752,492,639,17105,2,498642,4969211,3743139
9208,Illinois Power Co,IL,2007R,1,51097,493103,471796,33602,415682,62425,966,43704,86,1,7,4,85666,952496,534311
9417,Interstate Power and Light Co,IL,2007R,1,736,8464,10754,351,3795,1945,1234,19791,112,0,0,0,2321,32050,12811
12341,MidAmerican Energy Co,IL,2007R,1,4058,57441,75395,2808,50723,9103,1703,46623,86,0,0,0,8569,154787,84584
13032,Mt Carmel Public Utility Co,IL,2007R,1,416,4438,4606,127,1288,853,410,7315,105,0,0,0,953,13041,5564
17535,South Beloit Wtr Gas & Elec,IL,2007R,1,537,7776,8684,265,4328,1014,312,6645,47,0,0,0,1114,18749,9745
88888,Total EPM,IL,2007R,1,415957,4320952,0,330871,3917230,0,265976,3973416,0,,,0,1016647,12285218,0
0,State Level Adjustment,IN,2007R,1,70541,828294,0,20462,273200,0,29832,592328,0,,,0,120834,1693822,0
261,AGC Division of APG Inc,IN,2007R,1,0,0,0,0,0,0,8071,393634,1,0,0,0,8071,393634,1
9273,Indianapolis Power & Light Co,IN,2007R,1,35752,538419,417769,15233,198147,47028,32232,596262,4562,0,0,0,83217,1332828,469359
9324,Indiana Michigan Power Co,IN,2007R,1,33539,501579,399421,21758,380602,52066,23449,541543,4106,0,0,0,78746,1423724,455593
13756,Northern Indiana Pub Serv Co,IN,2007R,1,32559,304628,398662,31600,335921,52912,40557,773770,2509,184,2009,1,104900,1416328,454084
15470,Duke Energy Indiana Inc,IN,2007R,1,57685,908875,674222,35641,676191,98836,34520,900152,2869,0,0,0,127846,2485218,775927
15470,PSI Energy Inc,IN,2007R,1,57685,908875,674222,35641,676191,98836,34520,900152,2869,0,0,0,127846,2485218,775927
17633,Southern Indiana Gas & Elec Co,IN,2007R,1,11267,132676,127575,8490,122466,18894,9416,195288,203,0,0,0,29173,450430,146672
88888,Total EPM,IN,2007R,1,241343,3214471,0,133184,1986527,0,178077,3992977,0,,,0,552787,9195984,0
0,State Level Adjustment,KS,2007R,1,22353,227024,0,15748,185329,0,11136,200720,0,,,0,49237,613073,0
5860,Empire District Electric Co,KS,2007R,1,1219,13156,8840,527,5366,1405,504,6475,48,0,0,0,2250,24997,10293
9996,Kansas City City of,KS,2007R,1,3904,47272,57485,5646,75964,6941,3709,73690,94,0,0,0,13259,196926,64520
10000,Kansas City Power & Light Co,KS,2007R,1,16940,256993,207227,15131,268611,26048,1731,33726,1025,0,0,0,33802,559330,234300
10005,Kansas Gas & Electric Co,KS,2007R,1,17531,270868,272505,12821,224389,32970,13789,338091,3515,0,0,0,44141,833348,308990
12524,Midwest Energy Inc,KS,2007R,1,2189,28185,29764,2429,30836,14841,2685,43608,3143,0,0,0,7303,102629,47748
12698,Aquila Inc,KS,2007R,1,4072,42192,52149,4339,46858,16804,3636,66168,67,0,0,0,12047,155218,69020
22500,Westar Energy Inc,KS,2007R,1,20095,312201,312179,17382,334273,46001,6945,152761,1191,0,0,0,44422,799235,359371
88888,Total EPM,KS,2007R,1,88303,1197891,0,74023,1171626,0,44135,915239,0,,,0,206461,3284756,0
0,State Level Adjustment,KY,2007R,1,67242,856358,0,26101,344407,0,22811,463436,0,,,0,116153,1664201,0
5748,Electric Energy Inc,KY,2007R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9964,Kenergy Corp,KY,2007R,1,4421,73486,44638,1695,27304,9507,23657,702746,31,0,0,0,29773,803536,54176
10171,Kentucky Utilities Company,KY,2007R,1,37495,657978,412920,28405,520031,87298,21177,484303,1871,0,0,0,87077,1662312,502089
11249,Louisville Gas and Electric Company,KY,2007R,1,23113,350063,351023,22547,396970,47325,10118,244571,396,0,0,0,55778,991604,398744
14724,Pennyrile Rural Electric Coop,KY,2007R,1,4518,55593,36951,1930,21305,9423,1568,26038,34,0,0,0,8016,102936,46408
17564,South Kentucky Rural  Electric Coop Corp,KY,2007R,1,5883,73083,57007,578,6063,4395,1555,24876,415,0,0,0,8016,104022,61817
18642,Tennessee Valley Authority,KY,2007R,1,0,0,0,0,0,0,52566,1453865,23,0,0,0,52566,1453865,23
19446,"Union Light, Heat & Power Co",KY,2007R,1,9637,132837,118848,9244,137429,14540,3440,57452,389,0,0,0,22321,327718,133777
20130,Warren Rural Elec Coop Corp,KY,2007R,1,5819,74519,48106,2263,24746,9897,2897,45569,43,0,0,0,10979,144834,58046
22053,Kentucky Power Co,KY,2007R,1,18792,290161,144815,8779,130821,29837,12522,286992,1457,0,0,0,40093,707974,176109
49998,City of Berea Municipal Utilities,KY,2007R,1,327,5521,4225,141,2203,631,211,3842,55,0,0,0,679,11566,4911
88888,Total EPM,KY,2007R,1,177247,2569599,0,101683,1611279,0,152522,3793690,0,,,0,431451,7974568,0
0,State Level Adjustment,LA,2007R,1,49372,677037,0,22277,297635,0,5194,81408,0,,,0,76845,1056080,0
3265,Cleco Power LLC,LA,2007R,1,29077,276330,228680,19854,184912,39233,17839,241020,663,0,0,0,66770,702262,268576
7806,Entergy Gulf States Inc,LA,2007R,1,38528,384649,313333,37165,406217,48525,48495,733134,4651,0,0,0,124188,1524000,366509
11241,Entergy Louisiana Inc,LA,2007R,1,66118,682677,563918,48994,489702,77065,70360,1087728,8654,0,0,0,185472,2260107,649637
13478,Entergy New Orleans Inc,LA,2007R,1,8669,83304,105141,18390,198841,13866,3133,44224,2466,28,212,21,30220,326581,121494
17698,Southwestern Electric Power Co,LA,2007R,1,12407,199340,154905,10272,180727,18935,3389,71183,1977,0,0,0,26068,451250,175817
88888,Total EPM,LA,2007R,1,204171,2303337,0,156952,1758034,0,148410,2258697,0,,,0,509563,6320280,0
0,State Level Adjustment,MA,2007R,1,51757,357606,0,199436,1437878,0,85260,644547,0,,,0,340202,2476561,0
6374,Fitchburg Gas and Electric Light Company,MA,2007R,1,3404,16501,24377,1674,8246,3823,63,422,4,0,0,0,5141,25169,28204
8774,Holyoke City of,MA,2007R,1,1000,9241,14343,1666,15965,2681,497,6298,73,0,0,0,3163,31504,17097
11804,Massachusetts Electric Co,MA,2007R,1,141105,761363,1076431,60575,328877,124208,8217,46837,3333,0,0,0,209897,1137077,1203972
13206,Nantucket Electric Co,MA,2007R,1,1384,7614,10849,441,2235,1151,13,75,4,0,0,0,1838,9924,12004
15748,Reading Town of,MA,2007R,1,2150,20936,24677,258,2582,561,2933,34138,2769,0,0,0,5341,57656,28007
20455,Western Massachusetts Elec Co,MA,2007R,1,23610,137727,181801,8934,54452,16419,2325,15517,570,0,0,0,34869,207696,198790
54913,NSTAR Electric Company,MA,2007R,1,94508,473685,817332,73081,379739,123774,5296,28611,1,0,0,0,172885,882035,941107
88888,Total EPM,MA,2007R,1,318918,1784673,0,346065,2229974,0,104604,776445,0,,,0,773336,4827622,0
0,State Level Adjustment,MD,2007R,1,38977,329749,0,185518,1762811,0,33571,405909,0,,,0,262395,2545449,0
1167,Baltimore Gas & Electric Co,MD,2007R,1,100477,1243136,1074761,47669,377379,81437,2209,22199,3525,0,0,0,150355,1642714,1159723
5027,Conectiv,MD,2007R,1,25838,199600,169685,7828,64070,22013,287,3350,174,0,0,0,33953,267020,191872
15263,The Potomac Edison Co,MD,2007R,1,22945,331380,215540,10303,90767,24199,2633,32201,2323,0,0,0,35881,454348,242062
15270,Potomac Electric Power Co,MD,2007R,1,65187,517684,444722,21902,175310,31010,0,0,0,0,0,0,87089,692994,475732
88888,Total EPM,MD,2007R,1,253424,2621549,0,273220,2470337,0,38700,463659,0,,,0,569673,5602525,0
0,State Level Adjustment,ME,2007R,1,65116,428936,0,48725,358697,0,38259,266468,0,,,0,152100,1054101,0
3266,Central Maine Power Co,ME,2007R,1,1,8,27,4,22,6,0,0,0,0,0,0,5,30,33
5609,Eastern Maine Electric Coop,ME,2007R,1,0,0,0,0,0,0,5,82,1,0,0,0,5,82,1
11477,Town of Madison (ME),ME,2007R,1,160,1772,2216,40,450,304,335,6295,18,0,0,0,535,8517,2538
88888,Total EPM,ME,2007R,1,65277,430716,0,48769,359169,0,38599,272845,0,,,0,152645,1062730,0
0,State Level Adjustment,MI,2007R,1,26750,290655,0,28165,368152,0,27143,418721,0,,,0,82051,1077505,0
392,Alpena Power Co,MI,2007R,1,822,8589,13679,785,9175,3991,550,9912,5,0,0,0,2157,27676,17675
4254,Consumers Energy Co,MI,2007R,1,123084,1285443,1574783,90563,1055320,214944,57355,827744,8634,0,0,0,271002,3168507,1798361
5107,City of Detroit,MI,2007R,1,2,18,78,3578,41476,123,0,0,0,42,418,1,3622,41912,202
5109,Detroit Edison Co,MI,2007R,1,150252,1388770,1973880,137407,1542433,193544,64773,1012192,1128,0,0,0,352432,3943395,2168552
5659,Edison Sault Electric Co,MI,2007R,1,1340,17808,19346,1663,24465,3675,877,16298,4,0,0,0,3880,58571,23025
9324,Indiana Michigan Power Co,MI,2007R,1,8065,129371,108726,4660,68439,17180,4106,77804,1054,0,0,0,16831,275614,126960
10704,Lansing City of,MI,2007R,1,3943,56688,83579,6327,104830,12937,1738,37092,286,0,0,0,12008,198610,96802
13780,Northern States Power Co,MI,2007R,1,555,5909,7849,496,5717,1444,151,2214,2,0,0,0,1202,13840,9295
19578,Upper Peninsula Power Co,MI,2007R,1,3475,25864,46133,2362,22059,5771,1385,22172,15,0,0,0,7222,70095,51919
20847,Wisconsin Electric Power Co,MI,2007R,1,1701,16169,24280,1160,12330,2946,8346,204608,87,0,0,0,11207,233107,27313
20860,Wisconsin Public Service Corp,MI,2007R,1,629,7060,8058,244,2648,861,412,4066,35,0,0,0,1285,13774,8954
88888,Total EPM,MI,2007R,1,320618,3232344,0,277410,3257044,0,166836,2632823,0,,,0,764899,9122606,0
0,State Level Adjustment,MN,2007R,1,56432.154,677175.102,0,23143.74,319600.296,0,21276.32,380067.792,0,,,0,100852.214,1376843.19,0
689,Anoka Electric Coop,MN,2007R,1,9716,113237,111791,3463,54145,9257,414,8242,321,0,0,0,13593,175624,121369
5574,East Central Energy,MN,2007R,1,4787.846,50330.898,47428,1618.26,22042.704,4402,425.68,8047.208,116,0,0,0,6831.786,80420.81,51946
9417,Interstate Power and Light Co,MN,2007R,1,2828,31900,36331,1134,13680,6758,1977,29104,609,0,0,0,5939,74684,43698
