UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
15470,PSI Energy Inc,IN,2006,1,59713,841119,665598,38687,633786,97411,41185,902907,2899,,,,139585,2377812,765908
17633,Southern Indiana Gas & Elec Co,IN,2006,1,12500,145277,126415,9015,125541,18714,10306,199386,206,,,,31821,470204,145335
88888,Total EPM,IN,2006,1,229555,3085031,0,127771,1880203,0,183253,4019951,0,,,0,540722,8986833,0
0,State Level Adjustment,KS,2006,1,24526,240014,0,15470,170910,0,12724,237133,0,,,0,52720,648057,0
5860,Empire District Electric Co,KS,2006,1,785,10193,8847,343,4110,1431,413,6300,47,0,0,0,1541,20603,10325
9996,Kansas City City of,KS,2006,1,4556,47563,57383,5927,75848,6883,4023,73483,99,0,0,0,14506,196894,64365
10000,Kansas City Power & Light Co,KS,2006,1,12934,216798,203997,12785,242910,25541,1575,33392,1046,0,0,0,27294,493100,230584
10005,Kansas Gas & Electric Co,KS,2006,1,16846,231476,270372,12958,210786,31971,13245,315691,3477,0,0,0,43049,757953,305820
12524,Midwest Energy Inc,KS,2006,1,1959,25192,28850,2209,27469,14244,2565,43132,3001,0,0,0,6733,95793,46095
12698,Aquila Inc,KS,2006,1,3555,37304,52167,3954,44239,16556,3073,61560,69,0,0,0,10582,143103,68792
17718,Southwestern Public Service Co,KS,2006,1,101,813,1042,126,999,429,,,,,,,227,1812,1471
22500,Westar Energy Inc,KS,2006,1,17334,269082,308211,14670,286075,45855,6907,159675,1197,,,,38911,714832,355263
88888,Total EPM,KS,2006,1,82596,1078435,0,68442,1063346,0,44525,930366,0,,,0,195563,3072147,0
0,State Level Adjustment,KY,2006,1,63276,885084,0,24004,337532,0,23293,522612,0,,,0,110573,1745228,0
5748,Electric Energy Inc,KY,2006,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9964,Kenergy Corp,KY,2006,1,4036,66787,44310,1426,23036,9367,21123,710465,32,0,0,0,26585,800288,53709
10171,Kentucky Utilities Company,KY,2006,1,34506,642650,407670,22183,438302,85761,17092,429628,1897,0,0,0,73781,1510580,495328
11249,Louisville Gas and Electric Company,KY,2006,1,20860,325803,347902,18177,346854,46839,10304,262801,397,0,0,0,49341,935458,395138
14724,Pennyrile Rural Electric Coop,KY,2006,1,4437,57206,35465,1776,21036,9890,1528,25280,34,0,0,0,7741,103522,45389
17564,South Kentucky Rural  Electric Coop C,KY,2006,1,7446,88252,56501,628,6929,4309,1853,24695,403,0,0,0,9927,119876,61213
18642,Tennessee Valley Authority,KY,2006,1,,,,,,,33875,1395450,22,,,,33875,1395450,22
19446,"Union Light, Heat & Power Co",KY,2006,1,7730,124557,117654,7552,131996,14362,2876,57046,395,,,,18158,313599,132411
20130,Warren Rural Elec Coop Corp,KY,2006,1,6305,85724,47309,2173,25205,9522,2706,44571,46,,,,11184,155500,56877
22053,Kentucky Power Co,KY,2006,1,17421,296306,144830,7073,114812,29501,10940,268128,1463,0,0,0,35434,679246,175794
49998,City of Berea Municipal Utilities,KY,2006,1,323,5706,4159,135,2201,633,194,3641,55,,,,652,11548,4847
88888,Total EPM,KY,2006,1,166340,2578075,0,85127,1447903,0,125784,3744317,0,,,0,377251,7770295,0
0,State Level Adjustment,LA,2006,1,48692,679780,0,20656,267583,0,4965,85255,0,,,0,74313,1032619,0
3265,Cleco Power LLC,LA,2006,1,28455,282681,222142,19132,187345,38679,18864,242528,671,0,0,0,66451,712554,261492
7806,Entergy Gulf States Inc,LA,2006,1,48392,381229,313012,47550,408077,48739,70551,761800,4654,,,,166493,1551106,366405
11241,Entergy Louisiana Inc,LA,2006,1,53161,621538,553144,41077,446086,77950,61960,962686,7927,0,0,0,156198,2030310,639021
13478,Entergy New Orleans Inc,LA,2006,1,4191,34442,158945,11061,121106,18336,2000,27727,1404,25,42,34,17277,183317,178719
17698,Southwestern Electric Power Co,LA,2006,1,10434,174335,152499,9087,164698,18601,3067,67917,1930,0,0,0,22588,406950,173030
88888,Total EPM,LA,2006,1,193325,2174005,0,148563,1594895,0,161407,2147913,0,,,0,503320,5916856,0
0,State Level Adjustment,MA,2006,1,58178,397897,0,136070,1103973,0,45131,425084,0,,,0,242857,1959604,0
