UTILITY_ID,UTILNAME,STATE_CODE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MWh),RES_CONS ,COM_REV (Thousand $),COM_SALES (MWh),COM_CONS,IND_REV (Thousand $),IND_SALES (MWh),IND_CONS,TRA_REV (Thousand $),TRA_SALES (MWh),TRA_CONS,TOT_REV (Thousand $),TOT_SALES (MWh),TOT_CONS
9964,Kenergy Corp,KY,2010,1,5963,88010,45182,2060,31007,9736,27017,699400,33,0,0,0,35040,818417,54951
10171,Kentucky Utilities Co,KY,2010,1,56119,800661,422340,33782,502454,89936,25149,453481,2094,0,0,0,115050,1756596,514370
11249,Louisville Gas & Electric Co,KY,2010,1,29770,401701,348709,24847,390510,46316,8675,169154,436,0,0,0,63292,961365,395461
14724,Pennyrile Rural Electric Coop,KY,2010,1,6427,74565,37814,2183,21561,9315,1589,22301,36,0,0,0,10199,118427,47165
17564,South Kentucky Rural E C C,KY,2010,1,11722.508,122381.178,60588,1054.47,9524.234,4988,2447.956,29231.43,538,0,0,0,15224.934,161136.842,66114
18642,Tennessee Valley Authority,KY,2010,1,0,0,0,0,0,0,77001,1704199,21,0,0,0,77001,1704199,21
19446,Duke Energy Kentucky,KY,2010,1,12468,162043,120187,9936,143000,14745,3381,55234,377,0,0,0,25785,360277,135309
20130,Warren Rural Elec Coop Corp,KY,2010,1,8018,97832,49520,2650,27270,10272,2860,40407,45,0,0,0,13528,165509,59837
22053,Kentucky Power Co,KY,2010,1,27864.349,369416.544,143805,10880.775,139123.847,30028,13249.538,257792.569,1430,0,0,0,51994.662,766332.96,175263
49998,City of Berea Municipal Utility,KY,2010,1,546,8102,4354,187,2683,659,208,3258,55,0,0,0,941,14043,5068
88888,Total EPM,KY,2010,1,248899,3218340,1929008,114666,1592308,296488,191706,3965097,7186,0,0,0,555271,8775745,2232682
0,Adjustment 2010,LA,2010,1,67315.851,919392.517,517718,24071.478,328069.936,64953,5515.463,91979.637,2523,-0.004,-0.102,0,96902.788,1339441.988,585194
3265,Cleco Power LLC,LA,2010,1,32530,383128,234217,19436,215574,39265,11835,192633,626,0,0,0,63801,791335,274108
11241,Entergy Louisiana Inc,LA,2010,1,83177,905510,576042,50991,531627,80320,72860,1128671,7240,0,0,0,207028,2565808,663602
13478,Entergy New Orleans Inc,LA,2010,1,15954,179921,132898,17277,216200,14756,2469,40363,2322,77,882,31,35777,437366,150007
17698,Southwestern Electric Power Co,LA,2010,1,16875,257602,159969,12014,187225,19701,3288,61376,1975,0,0,0,32177,506203,181645
