UTILITYID,UTILNAME,STATE,YEAR,MONTH,RES_REV (Thousand $),RES_SALES (MwH),RES_CONS ,COM_REV (Thousand $),COM_SALES (MwH),COM_CONS,IND_REV (Thousand $),IND_SALES (MwH),IND_CONS,OTH_REV (Thousand $),OTH_SALES (MwH),OTH_CONS,TOT_REV (Thousand $),TOT_SALES (MwH),TOT_CONS
9601,Jackson Electric Member Corp,GA,2004,1,17017,256260,162547,7487,99675,15174,1816,41962,72,,,,26320,397897,177793
16687,Savannah Electric & Power Co,GA,2004,1,13094,189134,122328,8741,123596,17689,2637,55885,89,0,0,0,24472,368615,140106
88888,Total EPM,GA,2004,1,349476,4953637,0,216242,3295390,0,111895,2838001,0,,,0,678347,11103575,0
0,State Level Adjustment,HI,2004,1,17,87,0,1795,15907,0,63,623,0,,,0,1875,16616,0
8287,Hawaii Electric Light Co Inc,HI,2004,1,7999,36405,57383,7130,33436,11575,2973,17738,60,,,,18102,87579,69018
10071,Kauai Island Utility Cooperative,HI,2004,1,3263,13698,24809,2344,9559,4340,2927,13681,120,,,,8534,36938,29269
11843,Maui Electric Co Ltd,HI,2004,1,7070,37931,52137,5712,29727,9146,5154,32662,137,,,,17936,100320,61420
19547,Hawaiian Electric Co Inc,HI,2004,1,26664,178384,253130,24816,183064,33237,27614,246891,355,,,,79094,608339,286722
88888,Total EPM,HI,2004,1,45013,266505,0,41797,271693,0,38731,311595,0,,,0,125541,849792,0
0,State Level Adjustment,IA,2004,1,34425,435244,0,15997,262553,0,10637,255308,0,,,0,61058,953105,0
471,Amana Society Service Co,IA,2004,1,53,587,696,65,749,177,323,6512,1,0,0,0,441,7848,874
9417,Interstate Power and Light Co,IA,2004,1,32680,390722,402333,17571,273766,68553,24371,610860,2496,,,,74622,1275348,473382
12341,MidAmerican Energy Co,IA,2004,1,38005,477429,517190,24648,400032,83253,16829,439069,1162,0,0,0,79482,1316530,601605
88888,Total EPM,IA,2004,1,105163,1303982,0,58281,937100,0,52160,1311749,0,,,0,215603,3552831,0
0,State Level Adjustment,ID,2004,1,6370,86367,0,2256,34426,0,874,22092,0,,,0,9500,142885,0
967,Atlanta Power Co Inc,ID,2004,1,4,11,55,1,4,6,,,,,,,5,15,61
9187,Idaho Falls City of,ID,2004,1,2541,37833,20285,1854,28953,3181,280,4751,7,,,,4675,71537,23473
9191,Idaho Power Co,ID,2004,1,31890,557990,342555,12878,288703,51605,9294,273373,15651,0,0,0,54062,1120066,409811
10454,Kootenai Electric Coop Inc,ID,2004,1,1668,27925,17379,435,7393,1443,46,988,61,,,,2149,36306,18883
11273,Lower Valley Energy Inc,ID,2004,1,77,1499,1276,15,305,221,139,4014,1,,,,231,5818,1498
14354,PacifiCorp,ID,2004,1,1957,73880,48592,552,37295,7137,5031,161273,5386,0,0,0,7540,272448,61115
16565,Salmon River Electric Coop Inc,ID,2004,1,271,3435,1919,143,2189,624,489,13560,2,,,,903,19184,2545
20169,Avista Corp,ID,2004,1,7533,119399,93862,5178,73392,15216,4189,103387,521,,,,16900,296178,109599
22814,Raft Rural Elec Coop Inc,ID,2004,1,149,3342,1187,67,685,239,1,117,26,,,,217,4144,1452
88888,Total EPM,ID,2004,1,52460,911681,0,23379,473345,0,20343,583555,0,,,0,96182,1968581,0
0,State Level Adjustment,IL,2004,1,48825,561395,0,53782,722445,0,91673,1823617,0,,,0,194073,3103035,0
3252,Central Illinois Light Co,IL,2004,1,12543,197799,179459,9951,151158,22845,4749,90237,664,,,,27243,439194,202968
3253,Central Illinois Pub Serv Co,IL,2004,1,22100,358513,280322,12734,193905,45022,5750,132453,1134,,,,40584,684871,326478
4110,Commonwealth Edison Co,IL,2004,1,211364,2782744,3302057,159436,2313269,335013,44283,973010,972,2467,50345,2,417550,6119368,3638044
9208,Illinois Power Co,IL,2004,1,34680,531043,534400,26836,398796,71150,19411,469129,305,1,4,4,80928,1398972,605859
9417,Interstate Power and Light Co,IL,2004,1,696,9351,10774,307,3902,1928,943,18436,114,,,,1946,31689,12816
12341,MidAmerican Energy Co,IL,2004,1,3756,58922,74811,2529,51257,8965,1349,44434,95,0,0,0,7634,154613,83871
13032,Mt Carmel Public Utility Co,IL,2004,1,425,4693,4616,125,1306,851,398,7544,108,,,,948,13543,5575
17535,South Beloit Wtr Gas & Elec,IL,2004,1,454,7362,7874,231,4098,922,338,6544,46,,,,1023,18004,8842
19436,Union Electric Co,IL,2004,1,2857,67383,57631,2667,71843,9159,4075,159575,380,,,,9599,298801,67170
88888,Total EPM,IL,2004,1,337700,4579205,0,268598,3911979,0,172969,3724979,0,,,0,781528,12262090,0
0,State Level Adjustment,IN,2004,1,67152,927116,0,18559,292372,0,24015,541963,0,,,0,109726,1761452,0
261,AGC Division of APG Inc,IN,2004,1,,,,,,,5026,394095,1,,,,5026,394095,1
9273,Indianapolis Power & Light Co,IN,2004,1,31568,593741,407124,13331,211072,45023,26812,595387,4934,,,,71711,1400200,457081
9324,Indiana Michigan Power Co,IN,2004,1,33030,510815,398147,19757,354362,49997,23967,568092,4267,,,,76754,1433269,452411
13756,Northern Indiana Pub Serv Co,IN,2004,1,26997,292497,388752,25045,306311,50067,33990,792631,2544,149,1916,1,86181,1393355,441364
15470,PSI Energy Inc,IN,2004,1,51997,927340,651663,30172,626542,94373,27497,827557,2846,,,,109666,2381439,748882
17633,Southern Indiana Gas & Elec Co,IN,2004,1,10782,149083,118203,7588,125849,17080,8283,204370,155,,,,26653,479302,135438
88888,Total EPM,IN,2004,1,221526,3400592,0,114452,1916508,0,149590,3924095,0,,,0,485717,9243112,0
0,State Level Adjustment,KS,2004,1,18746,217006,0,12601,154688,0,11127,232319,0,,,0,42474,604014,0
5860,Empire District Electric Co,KS,2004,1,725,11137,8849,335,4588,1451,311,6143,46,0,0,0,1371,21868,10346
9996,Kansas City City of,KS,2004,1,2052,41216,60596,3855,62904,7876,2183,82036,348,0,0,0,8090,186156,68820
10000,Kansas City Power & Light Co,KS,2004,1,13668,229489,197673,13376,246836,24775,1492,30404,1058,,,,28536,506729,223506
10005,Kansas Gas & Electric Co,KS,2004,1,18006,249621,269619,13259,214331,31273,12528,287420,3500,,,,43793,751372,304392
12524,Midwest Energy Inc,KS,2004,1,1925,25431,28851,2110,27248,13848,2417,41785,2782,,,,6452,94464,45481
12698,Aquila Inc,KS,2004,1,3237,40491,52208,3262,43250,16161,2603,57758,72,0,0,0,9102,141499,68441
17718,Southwestern Public Service Co,KS,2004,1,61,852,1040,66,979,437,,,,,,,127,1831,1477
22500,Westar Energy Inc,KS,2004,1,17475,275026,305301,15933,315780,45625,6562,150422,1214,,,,39970,741228,352140
88888,Total EPM,KS,2004,1,75895,1090269,0,64797,1070604,0,39223,888287,0,,,0,179915,3049161,0
0,State Level Adjustment,KY,2004,1,62581,947889,0,21443,329056,0,21180,508941,0,,,0,105204,1785886,0
1594,Berea College,KY,2004,1,336,5982,4025,133,2170,679,229,4430,54,,,,698,12582,4758
5748,Electric Energy Inc,KY,2004,1,,,,,,,642,31814,1,,,,642,31814,1
9964,Kenergy Corp,KY,2004,1,4334,73563,45360,1516,25963,6939,18784,708451,29,,,,24634,807977,52328
10171,Kentucky Utilities Co,KY,2004,1,32614,740297,397348,20948,480246,84078,15136,440088,1961,,,,68698,1660631,483387
11249,Louisville Gas and Electric Company,KY,2004,1,18298,352505,338636,18034,367098,46693,8196,227234,400,0,0,0,44528,946837,385729
14724,Pennyrile Rural Electric Coop,KY,2004,1,3752,53573,34883,1532,19418,9300,1291,22560,36,,,,6575,95551,44219
17564,South Kentucky Rural  Electric Coop,KY,2004,1,5280,88355,55001,423,6440,4189,1114,21751,382,,,,6817,116546,59572
18642,Tennessee Valley Authority,KY,2004,1,,,,,,,32745,1383568,22,,,,32745,1383568,22
19446,"Union Light, Heat & Power Co",KY,2004,1,8681,145615,115357,7976,138340,13877,2804,56197,394,,,,19461,340152,129628
20130,Warren Rural Elec Coop Corp,KY,2004,1,5819,83850,45881,2091,26162,8580,2112,37639,44,,,,10022,147651,54505
22053,Kentucky Power Co,KY,2004,1,16921,351657,145096,6657,130737,28574,7729,241592,1479,,,,31307,723986,175149
88888,Total EPM,KY,2004,1,158616,2843286,0,80753,1525630,0,111962,3684265,0,,,0,351331,8053181,0
0,State Level Adjustment,LA,2004,1,39391,631428,0,16691,252208,0,5083,94425,0,,,0,61165,978063,0
3265,Cleco Power LLC,LA,2004,1,21773,306328,220208,13797,189236,38363,12263,233351,703,0,0,0,47833,728915,259274
7806,Entergy Gulf States Inc,LA,2004,1,29992,383144,296647,26581,374039,45120,37836,786149,3719,,,,94409,1543332,345486
11241,Entergy Louisiana Inc,LA,2004,1,63986,741357,573190,42346,470177,78045,64136,1066346,7576,,,,170468,2277880,658811
13478,Entergy New Orleans Inc,LA,2004,1,9854,149729,170546,13739,244446,18328,1386,22962,1169,70,1213,31,25049,418350,190074
17698,Southwestern Electric Power Co,LA,2004,1,10356,193218,148570,8174,169317,17847,2799,69615,1937,,,,21329,432150,168354
88888,Total EPM,LA,2004,1,175352,2405204,0,121328,1699423,0,123503,2272848,0,,,0,420253,6378690,0
0,State Level Adjustment,MA,2004,1,26370,281629,0,84298,877438,0,46532,590039,0,,,0,158748,1786036,0
1998,Boston Edison Co,MA,2004,1,54880,436685,594488,55080,558383,98646,5102,55102,1483,,,,115062,1050170,694617
2886,Cambridge Electric Light Co,MA,2004,1,2558,20470,44677,8720,96765,8327,181,2129,45,,,,11459,119364,53049
4089,Commonwealth Electric Co,MA,2004,1,24772,179712,262246,13262,116519,38550,1085,10411,168,,,,39119,306642,300964
6374,Fitchburg Gas & Elec Light Co,MA,2004,1,2242,17044,23705,1271,9773,3885,1312,11590,38,,,,4825,38407,27628
8774,Holyoke City of,MA,2004,1,1100,10446,14459,1643,15904,2638,463,6338,87,,,,3206,32688,17184
11804,Massachusetts Electric Co,MA,2004,1,96410,901428,1061100,57316,558486,131516,14700,150464,4376,,,,168426,1610378,1196992
13206,Nantucket Electric Co,MA,2004,1,1111,9650,10158,453,3626,1254,,,,,,,1564,13276,11412
15748,Reading Town of,MA,2004,1,2467,23357,24311,275,2785,429,3367,38538,2616,,,,6109,64680,27356
20455,Western Massachusetts Elec Co,MA,2004,1,17691,169041,184657,9951,106281,18196,4561,55970,807,,,,32203,331292,203660
49848,Massachusetts Bay Trans Auth,MA,2004,1,,,,39,404,61,,,,428,5537,3,467,5941,64
88888,Total EPM,MA,2004,1,229601,2049462,0,232308,2346364,0,77303,920581,0,,,0,541188,5358874,0
0,State Level Adjustment,MD,2004,1,22488,368638,0,23107,394260,0,39071,698960,0,,,0,86987,1504610,0
1167,Baltimore Gas & Electric Co,MD,2004,1,100980,1378579,1064128,24338,308539,107753,49282,773622,8754,0,0,0,174600,2460740,1180635
5027,Conectiv,MD,2004,1,17176,227975,164145,8117,104955,22151,2025,33567,259,,,,27318,366497,186555
11273,Lower Valley Energy Inc,MD,2004,1,,,,,,,,,,,,,0,0,0
15263,The Potomac Edison Co,MD,2004,1,25094,374791,201898,10250,161875,25352,13436,382043,2729,,,,48780,918709,229979
15270,Potomac Electric Power Co,MD,2004,1,36353,602843,399417,26826,503536,36348,429,10573,1,,,,63608,1116952,435766
88888,Total EPM,MD,2004,1,202091,2952826,0,92638,1473165,0,104243,1898765,0,,,0,401293,6367508,0
