UTILITYID,UTILNAME,STATE_CODE,YEAR,MONTH," RESIDENTIAL REVENUES ($1,000) ", RESIDENTIAL SALES (MWh) , RESIDENTIAL CUSTOMERS ," COMMERCIAL REVENUES ($1,000) ", COMMERCIAL SALES (MWh) , COMMERCIAL CUSTOMERS ," INDUSTRIAL REVENUES ($1,000) ", INDUSTRIAL SALES (MWh) , INDUSTRIAL CUSTOMERS ," TRANSPORTATION REVENUES ($1,000) ", TRANSPORTATION SALES (MWh) , TRANSPORTATION CUSTOMERS ," TOTAL REVENUES ($1,000) ", TOTAL SALES (MWh) , TOTAL CUSTOMERS 
11118,Lockhart Power Co,SC,2012,9, 743.30 ," 6,051.93 "," 4,981 ", 227.22 ," 1,929.34 "," 1,253 ", 566.31 ," 8,485.88 ", 9 , -   , -   , -   ," 1,536.83 "," 16,467.15 "," 6,243 "
14398,Palmetto Electric Coop Inc,SC,2012,9," 9,306.44 "," 83,498.00 "," 58,611 "," 4,655.62 "," 43,436.08 "," 9,713 ", 703.82 ," 6,603.62 ", 25 , -   , -   , -   ," 14,665.88 "," 133,537.70 "," 68,349 "
17539,South Carolina Electric&Gas Co,SC,2012,9," 82,520.00 "," 634,957.00 "," 574,189 "," 75,911.00 "," 713,005.00 "," 93,958 "," 33,335.00 "," 479,592.00 ", 724 , -   , -   , -   ," 191,766.00 "," 1,827,554.00 "," 668,871 "
17543,South Carolina Public Service Authority,SC,2012,9," 15,066.13 "," 137,013.57 "," 138,203 "," 16,308.18 "," 176,349.16 "," 28,306 "," 30,735.43 "," 608,756.27 ", 28 , -   , -   , -   ," 62,109.75 "," 922,119.00 "," 166,537 "
88888,Total EPM,SC,2012,9," 292,129.00 "," 2,464,500.00 "," 2,115,941 "," 186,699.00 "," 1,897,826.00 "," 343,337 "," 143,026.00 "," 2,294,466.00 "," 4,404 ", -   , -   , -   ," 621,854.00 "," 6,656,792.00 "," 2,463,682 "
0,Adjustment 2012,SD,2012,9," 8,423.65 "," 72,228.49 "," 83,008 "," 7,348.25 "," 100,442.74 "," 12,128 "," 2,499.06 "," 33,648.61 "," 1,120 ", -   , -   , -   ," 18,270.96 "," 206,319.84 "," 96,256 "
1769,"Black Hills Electric Coop, Inc",SD,2012,9, 750.90 ," 5,646.92 "," 8,148 ", 273.36 ," 2,342.70 "," 1,166 ", -   , -   , -   , -   , -   , -   ," 1,024.26 "," 7,989.61 "," 9,314 "
2285,City of Brookings - (SD),SD,2012,9, 676.00 ," 7,470.00 "," 8,568 ", 331.00 ," 3,519.00 "," 1,320 "," 1,010.00 "," 14,560.00 ", 149 , -   , -   , -   ," 2,017.00 "," 25,549.00 "," 10,037 "
3236,"Central Electric Coop, Inc - (SD)",SD,2012,9, 802.87 ," 6,497.27 "," 6,459 ", 185.88 ," 1,781.49 ", 663 ," 1,076.80 "," 15,243.23 ", 156 , -   , -   , -   ," 2,065.55 "," 23,521.99 "," 7,278 "
11475,City of Madison - (SD),SD,2012,9, 346.00 ," 3,625.00 "," 2,789 ", 172.00 ," 2,257.00 ", 417 , 250.00 ," 3,239.00 ", 49 , -   , -   , -   , 768.00 ," 9,121.00 "," 3,255 "
12199,Montana-Dakota Utilities Co,SD,2012,9, 420.00 ," 3,940.00 "," 6,643 ", 424.00 ," 4,609.00 "," 2,061 ", 41.00 , 602.00 , 8 , -   , -   , -   , 885.00 ," 9,151.00 "," 8,712 "
12341,MidAmerican Energy Co,SD,2012,9, 269.25 ," 3,899.41 "," 3,593 ", 229.24 ," 3,611.02 ", 829 , 479.14 ," 12,770.75 ", 23 , -   , -   , -   , 977.63 ," 20,281.19 "," 4,445 "
13337,Nebraska Public Power District,SD,2012,9, 142.40 ," 1,148.10 "," 1,071 ", 152.60 ," 1,709.00 ", 221 , -   , -   , -   , -   , -   , -   , 295.00 ," 2,857.10 "," 1,292 "
13750,"Northern Electric Coop, Inc",SD,2012,9, 697.45 ," 5,976.63 "," 5,163 ", 286.34 ," 3,260.81 ", 646 , 689.52 ," 8,986.85 ", 197 , -   , -   , -   ," 1,673.31 "," 18,224.29 "," 6,006 "
13781,Northern States Power Co - Minnesota,SD,2012,9," 6,647.12 "," 55,317.62 "," 74,023 "," 7,651.31 "," 78,338.42 "," 11,159 "," 2,366.99 "," 30,481.16 ", 18 , -   , -   , -   ," 16,665.42 "," 164,137.19 "," 85,200 "
13809,NorthWestern Energy - (SD),SD,2012,9," 4,269.00 "," 47,315.00 "," 48,976 "," 5,189.00 "," 62,094.00 "," 12,585 "," 1,418.00 "," 24,750.00 ", 60 , -   , -   , -   ," 10,876.00 "," 134,159.00 "," 61,621 "
14232,Otter Tail Power Co,SD,2012,9, 672.61 ," 7,624.43 "," 8,722 "," 1,545.67 "," 23,942.16 "," 2,800 ", -   , -   , -   , -   , -   , -   ," 2,218.28 "," 31,566.59 "," 11,522 "
15040,City of Pierre - (SD),SD,2012,9, 646.76 ," 7,314.17 "," 6,053 ", 233.88 ," 2,536.00 "," 1,031 ", 569.86 ," 8,787.54 ", 183 , -   , -   , -   ," 1,450.50 "," 18,637.70 "," 7,267 "
16286,Rosebud Electric Coop Inc,SD,2012,9, 396.00 ," 3,898.00 "," 4,640 ", 138.00 ," 1,582.00 ", 729 , 6.00 , 54.00 , 26 , -   , -   , -   , 540.00 ," 5,534.00 "," 5,395 "
17267,Sioux Valley SW Elec Coop,SD,2012,9," 2,185.91 "," 20,086.35 "," 16,915 ", 389.76 ," 3,234.75 "," 1,845 "," 1,732.19 "," 23,640.89 ", 389 , -   , -   , -   ," 4,307.86 "," 46,962.00 "," 19,149 "
19293,Southeastern Electric Coop Inc - (SD),SD,2012,9," 1,666.23 "," 16,228.18 "," 13,510 ", 772.71 ," 8,679.76 "," 1,716 "," 1,436.62 "," 20,395.92 ", 221 , -   , -   , -   ," 3,875.56 "," 45,303.86 "," 15,447 "
19545,Black Hills Power Inc,SD,2012,9," 4,714.30 "," 42,349.71 "," 54,448 "," 6,665.11 "," 69,265.27 "," 13,983 "," 1,310.94 "," 21,418.78 ", 33 , -   , -   , -   ," 12,690.34 "," 133,033.77 "," 68,464 "
19896,City of Volga,SD,2012,9, 72.00 , 650.00 , 832 , 11.00 , 106.00 , 112 , 228.00 ," 3,077.00 ", 29 , -   , -   , -   , 311.00 ," 3,833.00 ", 973 
20187,Watertown Municipal Utilities,SD,2012,9, 634.00 ," 8,906.00 "," 11,163 ", 563.00 ," 11,497.00 "," 2,259 ", 768.00 ," 9,916.00 ", 79 , -   , -   , -   ," 1,965.00 "," 30,319.00 "," 13,501 "
20401,West River Electric Assn Inc,SD,2012,9," 1,575.71 "," 11,860.84 "," 14,090 ", 787.32 ," 7,227.11 "," 1,693 ", 147.80 ," 1,507.20 ", 10 , -   , -   , -   ," 2,510.83 "," 20,595.14 "," 15,793 "
88888,Total EPM,SD,2012,9," 36,008.00 "," 331,982.00 "," 378,814 "," 33,349.00 "," 392,035.00 "," 69,363 "," 16,030.00 "," 233,079.00 "," 2,750 ", -   , -   , -   ," 85,388.00 "," 957,096.00 "," 450,927 "
0,Adjustment 2012,TN,2012,9," 113,217.49 "," 1,095,109.19 "," 861,253 "," 86,817.56 "," 810,807.47 "," 188,067 "," 49,444.52 "," 582,507.82 ", 606 , (0.00), (0.02), -   ," 249,479.57 "," 2,488,424.47 "," 1,049,926 "
727,Appalachian Electric Coop,TN,2012,9," 5,329.00 "," 48,044.00 "," 38,705 "," 2,083.00 "," 17,917.00 "," 6,167 ", 702.00 ," 8,345.00 ", 8 , -   , -   , -   ," 8,114.00 "," 74,306.00 "," 44,880 "
814,Entergy Arkansas Inc,TN,2012,9, 0.02 , 0.13 , 1 , 0.24 , 2.38 , 3 , 0.12 , 0.56 , 3 , -   , -   , -   , 0.37 , 3.08 , 7 
2247,City of Bristol - (TN),TN,2012,9," 3,293.00 "," 34,070.00 "," 28,401 "," 2,134.00 "," 19,384.00 "," 4,475 "," 1,969.00 "," 21,582.00 ", 25 , -   , -   , -   ," 7,396.00 "," 75,036.00 "," 32,901 "
3408,City of Chattanooga - (TN),TN,2012,9," 18,934.00 "," 185,716.00 "," 138,036 "," 17,298.00 "," 170,394.00 "," 23,005 "," 12,254.00 "," 145,509.00 ", 117 , -   , -   , -   ," 48,486.00 "," 501,619.00 "," 161,158 "
3704,City of Clarksville - (TN),TN,2012,9," 7,293.00 "," 66,011.00 "," 55,395 "," 4,619.00 "," 42,104.00 "," 7,816 "," 1,254.00 "," 13,297.00 ", 12 , -   , -   , -   ," 13,166.00 "," 121,412.00 "," 63,223 "
3758,City of Cleveland - (TN),TN,2012,9," 3,033.00 "," 31,362.00 "," 25,175 "," 3,414.00 "," 33,942.00 "," 4,494 "," 2,403.00 "," 29,502.00 ", 25 , -   , -   , -   ," 8,850.00 "," 94,806.00 "," 29,694 "
3812,City of Clinton - (TN),TN,2012,9," 3,193.00 "," 29,311.00 "," 25,101 "," 1,778.00 "," 15,476.00 "," 4,437 "," 1,707.00 "," 18,333.00 ", 20 , -   , -   , -   ," 6,678.00 "," 63,120.00 "," 29,558 "
4624,Cumberland Elec Member Corp,TN,2012,9," 11,589.00 "," 107,321.00 "," 78,192 "," 4,079.00 "," 35,654.00 "," 12,058 "," 3,964.00 "," 46,381.00 ", 37 , -   , -   , -   ," 19,632.00 "," 189,356.00 "," 90,287 "
5399,Duck River Elec Member Corp,TN,2012,9," 8,997.00 "," 84,271.00 "," 60,557 "," 3,797.00 "," 32,304.00 "," 10,587 "," 2,231.00 "," 25,578.00 ", 21 , -   , -   , -   ," 15,025.00 "," 142,153.00 "," 71,165 "
7174,Gibson Electric Members Corp,TN,2012,9," 4,074.00 "," 42,141.00 "," 28,639 "," 1,528.00 "," 13,550.00 "," 6,027 "," 1,492.00 "," 17,262.00 ", 18 , -   , -   , -   ," 7,094.00 "," 72,953.00 "," 34,684 "
7625,City of Greeneville - (TN),TN,2012,9," 3,462.00 "," 35,186.00 "," 30,570 "," 2,367.00 "," 22,134.00 "," 7,090 "," 2,245.00 "," 26,679.00 ", 24 , -   , -   , -   ," 8,074.00 "," 83,999.00 "," 37,684 "
9777,Johnson City - (TN),TN,2012,9," 7,730.00 "," 74,044.00 "," 64,923 "," 5,756.00 "," 54,630.00 "," 10,573 "," 2,617.00 "," 27,108.00 ", 33 , -   , -   , -   ," 16,103.00 "," 155,782.00 "," 75,529 "
10171,Kentucky Utilities Co,TN,2012,9, 0.45 , 6.00 , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.45 , 6.00 , 5 
10331,Kingsport Power Co,TN,2012,9," 3,778.84 "," 44,709.42 "," 41,163 "," 2,908.06 "," 35,041.54 "," 5,841 "," 4,200.74 "," 68,744.16 ", 163 , -   , -   , -   ," 10,887.64 "," 148,495.12 "," 47,167 "
10421,Knoxville Utilities Board,TN,2012,9," 21,304.00 "," 214,744.00 "," 173,689 "," 17,354.00 "," 171,535.00 "," 24,286 "," 9,670.00 "," 110,021.00 ", 69 , -   , -   , -   ," 48,328.00 "," 496,300.00 "," 198,044 "
10906,City of Lenoir - (TN),TN,2012,9," 7,612.00 "," 77,679.00 "," 49,074 "," 5,829.00 "," 57,681.00 "," 11,054 "," 1,166.00 "," 12,606.00 ", 29 , -   , -   , -   ," 14,607.00 "," 147,966.00 "," 60,157 "
12293,City of Memphis - (TN),TN,2012,9," 55,881.83 "," 586,773.87 "," 362,639 "," 45,193.42 "," 460,824.40 "," 43,413 "," 30,029.95 "," 370,390.40 ", 322 , 14.79 , 135.90 , 1 ," 131,119.99 "," 1,418,124.57 "," 406,375 "
12470,Middle Tennessee E M C,TN,2012,9," 26,945.00 "," 276,989.00 "," 165,958 "," 14,063.00 "," 135,528.00 "," 24,410 "," 6,210.00 "," 67,476.00 ", 112 , -   , -   , -   ," 47,218.00 "," 479,993.00 "," 190,480 "
13216,Nashville Electric Service,TN,2012,9," 43,100.00 "," 404,565.00 "," 323,413 "," 41,147.00 "," 394,802.00 "," 41,394 "," 22,733.00 "," 250,659.00 ", 235 , -   , -   , -   ," 106,980.00 "," 1,050,026.00 "," 365,042 "
17564,South Kentucky Rural E C C,TN,2012,9, 11.85 , 102.05 , 158 , 8.78 , 76.77 , 29 , 7.45 , 60.53 , 3 , -   , -   , -   , 28.08 , 239.35 , 190 
17694,Southwest Tennessee E M C,TN,2012,9," 7,108.00 "," 65,667.00 "," 41,875 "," 2,282.00 "," 18,361.00 "," 7,390 ", 483.00 ," 5,096.00 ", 4 , -   , -   , -   ," 9,873.00 "," 89,124.00 "," 49,269 "
18642,Tennessee Valley Authority,TN,2012,9, -   , -   , -   , -   , -   , -   ," 29,345.00 "," 481,106.00 ", 22 , -   , -   , -   ," 29,345.00 "," 481,106.00 ", 22 
19574,Upper Cumberland E M C,TN,2012,9," 5,045.00 "," 46,588.00 "," 40,383 "," 2,269.00 "," 19,167.00 "," 7,230 "," 1,563.00 "," 16,996.00 ", 17 , -   , -   , -   ," 8,877.00 "," 82,751.00 "," 47,630 "
19898,Volunteer Electric Coop,TN,2012,9," 11,054.00 "," 103,403.00 "," 93,474 "," 5,191.00 "," 47,180.00 "," 18,071 "," 2,243.00 "," 25,403.00 ", 33 , -   , -   , -   ," 18,488.00 "," 175,986.00 "," 111,578 "
88888,Total EPM,TN,2012,9," 371,985.00 "," 3,653,813.00 "," 2,726,779 "," 271,916.00 "," 2,608,496.00 "," 467,917 "," 189,934.00 "," 2,370,642.00 "," 1,958 ", 15.00 , 136.00 , 1 ," 833,850.00 "," 8,633,087.00 "," 3,196,655 "
0,Adjustment 2012,TX,2012,9," 1,326,274.54 "," 11,617,634.15 "," 8,127,744 "," 837,381.85 "," 10,160,741.11 "," 1,091,952 "," 372,211.26 "," 6,335,296.87 "," 81,532 ", 659.70 ," 6,279.29 ", 1 ," 2,536,527.35 "," 28,119,951.42 "," 9,301,229 "
5701,El Paso Electric Co,TX,2012,9," 25,920.00 "," 226,780.00 "," 260,576 "," 32,472.00 "," 312,375.00 "," 31,756 "," 5,961.00 "," 83,854.00 ", 43 , -   , -   , -   ," 64,353.00 "," 623,009.00 "," 292,375 "
16604,City of San Antonio - (TX),TX,2012,9," 103,644.55 "," 1,097,897.47 "," 656,364 "," 80,684.37 "," 1,083,549.75 "," 81,824 "," 5,648.14 "," 88,316.63 ", 66 , -   , -   , -   ," 189,977.05 "," 2,269,763.85 "," 738,254 "
17008,Sharyland Utilities LP,TX,2012,9," 4,065.45 "," 35,416.10 "," 26,660 "," 5,028.94 "," 46,029.74 "," 17,073 "," 5,220.03 "," 56,270.80 "," 2,692 ", -   , -   , -   ," 14,314.42 "," 137,716.64 "," 46,425 "
17698,Southwestern Electric Power Co,TX,2012,9," 16,406.00 "," 190,629.00 "," 147,519 "," 12,586.00 "," 207,551.00 "," 30,216 "," 11,896.00 "," 245,260.00 "," 4,394 ", -   , -   , -   ," 40,888.00 "," 643,440.00 "," 182,129 "
17718,Southwestern Public Service Co,TX,2012,9," 19,874.40 "," 204,812.00 "," 205,933 "," 21,271.95 "," 302,784.00 "," 57,294 "," 27,289.29 "," 659,828.00 ", 143 , -   , -   , -   ," 68,435.64 "," 1,167,424.00 "," 263,370 "
55937,Entergy Texas Inc.,TX,2012,9," 60,831.58 "," 636,106.24 "," 365,552 "," 33,733.24 "," 458,706.15 "," 47,460 "," 29,928.36 "," 549,977.12 "," 4,944 ", -   , -   , -   ," 124,493.17 "," 1,644,789.51 "," 417,956 "
88888,Total EPM,TX,2012,9," 1,557,017.00 "," 14,009,275.00 "," 9,790,348 "," 1,023,158.00 "," 12,571,737.00 "," 1,357,575 "," 458,154.00 "," 8,018,803.00 "," 93,814 ", 660.00 ," 6,279.00 ", 1 ," 3,038,989.00 "," 34,606,094.00 "," 11,241,738 "
88888,Total EPM,US,2012,9," 14,613,558.00 "," 118,831,342.00 "," 126,453,450 "," 12,238,481.00 "," 116,584,971.00 "," 17,684,165 "," 5,716,010.00 "," 82,059,900.00 "," 739,162 "," 65,886.00 "," 613,495.00 ", 81 ," 32,633,935.00 "," 318,089,708.00 "," 144,876,858 "
0,Adjustment 2012,UT,2012,9," 11,648.50 "," 131,608.43 "," 132,217 "," 9,457.19 "," 115,132.50 "," 17,853 "," 1,984.32 "," 29,064.05 ", 290 , -   , (0.03), -   ," 23,090.02 "," 275,804.94 "," 150,360 "
2010,City of Bountiful,UT,2012,9," 1,812.00 "," 18,919.00 "," 15,323 ", 897.00 ," 10,242.00 "," 1,361 ", 236.00 ," 3,915.00 ", 1 , -   , -   , -   ," 2,945.00 "," 33,076.00 "," 16,685 "
11135,City of Logan - (UT),UT,2012,9, 996.00 ," 9,473.00 "," 16,426 "," 1,496.00 "," 16,943.00 "," 1,961 ", 916.00 ," 12,720.00 ", 11 , -   , -   , -   ," 3,408.00 "," 39,136.00 "," 18,398 "
12866,Moon Lake Electric Assn Inc,UT,2012,9, 645.00 ," 9,408.00 "," 11,890 "," 1,740.00 "," 25,168.00 "," 3,798 ", 335.00 ," 5,073.00 ", 9 , -   , -   , -   ," 2,720.00 "," 39,649.00 "," 15,697 "
13073,"Mt Wheeler Power, Inc",UT,2012,9, 11.84 , 141.50 , 210 , 17.25 , 218.05 , 127 , 72.94 ," 1,310.12 ", 68 , -   , -   , -   , 102.03 ," 1,669.66 ", 405 
13314,Navajo Tribal Utility Authority,UT,2012,9, 26.00 , 282.00 , 510 , 69.00 , 633.00 , 72 , -   , -   , -   , -   , -   , -   , 95.00 , 915.00 , 582 
14354,PacifiCorp,UT,2012,9," 55,275.51 "," 511,936.55 "," 724,640 "," 63,247.80 "," 731,276.66 "," 80,153 "," 40,210.76 "," 663,838.76 "," 8,042 ", 263.73 ," 2,564.09 ", 1 ," 158,997.80 "," 1,909,616.06 "," 812,836 "
15444,Provo City Corp,UT,2012,9," 2,717.00 "," 27,409.00 "," 31,605 "," 3,200.00 "," 39,433.00 "," 4,233 ", 729.00 ," 12,730.00 ", 1 , -   , -   , -   ," 6,646.00 "," 79,572.00 "," 35,839 "
17845,City of Springville,UT,2012,9, 890.32 ," 8,569.78 "," 9,533 ", 812.73 ," 7,524.70 "," 1,000 ", 493.55 ," 6,035.05 ", 2 , -   , -   , -   ," 2,196.60 "," 22,129.53 "," 10,535 "
17874,City of St George,UT,2012,9," 2,593.52 "," 30,909.82 "," 23,069 ", 968.72 ," 9,555.01 "," 3,835 "," 2,048.24 "," 25,981.18 ", 720 , -   , -   , -   ," 5,610.49 "," 66,446.00 "," 27,624 "
18206,Strawberry Electric Serv Dist,UT,2012,9, 323.53 ," 3,248.36 "," 2,784 ", 67.30 , 596.81 , 437 , 74.04 , 925.51 , 60 , -   , -   , -   , 464.87 ," 4,770.68 "," 3,281 "
20332,Wells Rural Electric Co,UT,2012,9, 33.00 , 340.00 , 510 , 75.00 ," 1,014.00 ", 210 , 71.00 ," 1,261.00 ", 5 , -   , -   , -   , 179.00 ," 2,615.00 ", 725 
22814,Raft Rural Elec Coop Inc,UT,2012,9, 20.00 , 201.00 , 342 , 8.00 , 122.00 , 55 , 176.00 ," 4,276.00 ", 271 , -   , -   , -   , 204.00 ," 4,599.00 ", 668 
88888,Total EPM,UT,2012,9," 76,992.00 "," 752,446.00 "," 969,059 "," 82,056.00 "," 957,859.00 "," 115,095 "," 47,347.00 "," 767,130.00 "," 9,480 ", 264.00 ," 2,564.00 ", 1 ," 206,659.00 "," 2,479,999.00 "," 1,093,635 "
0,Adjustment 2012,VA,2012,9," 69,966.97 "," 595,832.47 "," 444,103 "," 27,752.49 "," 276,850.52 "," 55,838 "," 16,497.24 "," 210,760.90 ", 538 , (0.00), -   , -   ," 114,216.70 "," 1,083,443.89 "," 500,479 "
84,A & N Electric Coop,VA,2012,9," 3,582.31 "," 30,803.16 "," 30,374 "," 1,744.67 "," 16,121.89 "," 4,023 "," 1,120.93 "," 13,383.68 ", 16 , -   , -   , -   ," 6,447.91 "," 60,308.73 "," 34,413 "
733,Appalachian Power Co,VA,2012,9," 42,531.00 "," 374,481.00 "," 446,793 "," 28,143.00 "," 318,597.00 "," 74,464 "," 30,807.00 "," 446,955.00 "," 1,918 ", -   , -   , -   ," 101,481.00 "," 1,140,033.00 "," 523,175 "
10171,Kentucky Utilities Co,VA,2012,9," 1,918.00 "," 20,044.00 "," 24,300 "," 1,829.00 "," 19,650.00 "," 4,485 "," 1,239.00 "," 15,661.00 ", 79 , -   , -   , -   ," 4,986.00 "," 55,355.00 "," 28,864 "
17066,Shenandoah Valley Elec Coop,VA,2012,9," 7,362.36 "," 69,892.40 "," 73,610 "," 2,663.10 "," 25,546.78 "," 15,334 "," 5,862.09 "," 77,606.02 ", 370 , -   , -   , -   ," 15,887.56 "," 173,045.20 "," 89,314 "
19876,Virginia Electric & Power Co,VA,2012,9," 229,485.51 "," 2,113,833.00 "," 2,089,253 "," 243,165.15 "," 3,210,953.00 "," 249,895 "," 30,662.67 "," 502,585.00 ", 460 ," 1,277.70 "," 15,836.00 ", 1 ," 504,591.03 "," 5,843,207.00 "," 2,339,609 "
19882,Virginia Tech Electric Service,VA,2012,9, 440.84 ," 3,848.15 "," 5,107 "," 2,374.96 "," 24,439.72 "," 1,172 ", 105.66 ," 1,159.26 ", 5 , -   , -   , -   ," 2,921.47 "," 29,447.13 "," 6,284 "
40228,Rappahannock Electric Coop,VA,2012,9," 16,462.00 "," 139,438.00 "," 138,589 "," 2,758.00 "," 24,937.00 "," 14,876 "," 10,283.00 "," 146,799.00 ", 600 , -   , -   , -   ," 29,503.00 "," 311,174.00 "," 154,065 "
88888,Total EPM,VA,2012,9," 371,749.00 "," 3,348,172.00 "," 3,252,129 "," 310,430.00 "," 3,917,096.00 "," 420,087 "," 96,578.00 "," 1,414,910.00 "," 3,986 "," 1,278.00 "," 15,836.00 ", 1 ," 780,035.00 "," 8,696,014.00 "," 3,676,203 "
0,Adjustment 2012,VT,2012,9," 3,651.69 "," 23,354.57 "," 39,995 "," 2,098.39 "," 13,210.35 "," 5,214 "," 1,176.67 "," 7,354.70 ", 134 , -   , -   , -   ," 6,926.74 "," 43,919.62 "," 45,343 "
2548,City of Burlington Electric - (VT),VT,2012,9," 1,024.00 "," 6,472.00 "," 16,627 "," 2,318.00 "," 16,120.00 "," 3,758 ", 800.00 ," 6,242.00 ", 12 , -   , -   , -   ," 4,142.00 "," 28,834.00 "," 20,397 "
3292,Central Vermont Pub Serv Corp,VT,2012,9," 9,681.00 "," 56,393.00 "," 138,693 "," 8,921.00 "," 61,115.00 "," 23,386 "," 5,339.00 "," 60,229.00 ", 38 , -   , -   , -   ," 23,941.00 "," 177,737.00 "," 162,117 "
7601,Green Mountain Power Corp,VT,2012,9," 5,815.00 "," 39,501.00 "," 81,083 "," 8,357.00 "," 62,432.00 "," 14,805 "," 4,801.00 "," 49,518.00 ", 29 , -   , -   , -   ," 18,973.00 "," 151,451.00 "," 95,917 "
19791,"Vermont Electric Cooperative, Inc",VT,2012,9," 3,369.50 "," 17,981.71 "," 33,970 "," 1,896.76 "," 12,429.32 "," 4,119 ", 595.49 ," 6,196.41 ", 8 , -   , -   , -   ," 5,861.75 "," 36,607.44 "," 38,097 "
88888,Total EPM,VT,2012,9," 23,541.00 "," 143,702.00 "," 310,368 "," 23,591.00 "," 165,307.00 "," 51,282 "," 12,712.00 "," 129,540.00 ", 221 , -   , -   , -   ," 59,844.00 "," 438,549.00 "," 361,871 "
0,Adjustment 2012,WA,2012,9," 44,059.35 "," 592,814.37 "," 553,109 "," 27,498.76 "," 480,792.74 "," 83,489 "," 31,655.38 "," 754,199.08 "," 13,894 ", 1.93 , 36.32 , -   ," 103,215.42 "," 1,827,842.51 "," 650,492 "
1738,Bonneville Power Administration,WA,2012,9, -   , -   , -   ," 2,085.72 "," 60,020.48 ", 7 ," 10,631.25 "," 542,524.11 ", 2 , -   , -   , -   ," 12,716.97 "," 602,544.59 ", 9 
3660,PUD No 1 of Clark County - (WA),WA,2012,9," 13,265.00 "," 137,526.00 "," 169,775 "," 8,548.00 "," 110,780.00 "," 16,264 "," 3,610.00 "," 62,019.00 ", 26 , -   , -   , -   ," 25,423.00 "," 310,325.00 "," 186,065 "
4442,PUD No 1 of Cowlitz County,WA,2012,9," 3,156.00 "," 41,807.00 "," 43,130 "," 2,689.00 "," 32,231.00 "," 5,073 "," 13,421.00 "," 338,164.00 ", 112 , -   , -   , -   ," 19,266.00 "," 412,202.00 "," 48,315 "
10454,Kootenai Electric Cooperative,WA,2012,9, 9.48 , 115.66 , 75 , -   , -   , -   , 0.04 , 0.02 , 1 , -   , -   , -   , 9.52 , 115.67 , 76 
14354,PacifiCorp,WA,2012,9," 7,230.48 "," 91,227.15 "," 104,260 "," 8,354.67 "," 108,036.00 "," 17,908 "," 6,345.44 "," 101,929.55 "," 5,778 ", -   , -   , -   ," 21,930.59 "," 301,192.70 "," 127,946 "
15500,Puget Sound Energy Inc,WA,2012,9," 70,439.26 "," 670,779.51 "," 961,779 "," 70,570.56 "," 762,517.57 "," 123,981 "," 8,949.22 "," 102,350.90 "," 3,588 ", 24.48 , 304.80 , 1 ," 149,983.52 "," 1,535,952.78 "," 1,089,349 "
16868,City of Seattle - (WA),WA,2012,9," 14,160.52 "," 181,785.87 "," 363,094 "," 29,733.19 "," 435,774.53 "," 39,784 "," 5,472.59 "," 91,447.38 ", 214 , 3.83 , 50.30 , 5 ," 49,370.12 "," 709,058.09 "," 403,097 "
17470,Snohomish County PUD No 1,WA,2012,9," 15,557.00 "," 184,399.00 "," 294,307 "," 12,331.00 "," 176,349.00 "," 30,323 "," 2,873.00 "," 47,436.00 ", 80 , -   , -   , -   ," 30,761.00 "," 408,184.00 "," 324,710 "
18429,City of Tacoma  - (WA),WA,2012,9," 7,785.11 "," 98,034.34 "," 139,748 "," 1,810.28 "," 24,805.45 "," 15,768 "," 9,959.94 "," 200,772.98 "," 2,573 ", 16.40 , 218.87 , 1 ," 19,571.73 "," 323,831.65 "," 158,090 "
20169,Avista Corp,WA,2012,9," 13,555.78 "," 155,284.35 "," 212,932 "," 16,891.78 "," 175,013.06 "," 23,609 "," 5,030.13 "," 81,260.98 ", 936 , -   , -   , -   ," 35,477.69 "," 411,558.39 "," 237,477 "
88888,Total EPM,WA,2012,9," 189,218.00 "," 2,153,773.00 "," 2,842,209 "," 180,513.00 "," 2,366,320.00 "," 356,206 "," 97,948.00 "," 2,322,104.00 "," 27,204 ", 47.00 , 610.00 , 7 ," 467,726.00 "," 6,842,807.00 "," 3,225,626 "
0,Adjustment 2012,WI,2012,9," 41,199.34 "," 297,157.82 "," 476,325 "," 24,160.45 "," 232,017.60 "," 53,180 "," 26,196.40 "," 341,054.87 "," 2,277 ", -   , -   , -   ," 91,556.19 "," 870,230.28 "," 531,782 "
4247,Consolidated Water Power Co,WI,2012,9, 5.38 , 60.56 , 88 , 19.95 , 314.58 , 22 ," 5,423.98 "," 93,263.10 ", 1 , -   , -   , -   ," 5,449.31 "," 93,638.24 ", 111 
4715,Dahlberg Light & Power Co,WI,2012,9, 777.92 ," 5,321.70 "," 10,174 ", 222.94 ," 1,702.76 "," 1,142 ", 155.62 ," 1,521.98 ", 37 , -   , -   , -   ," 1,156.48 "," 8,546.43 "," 11,353 "
5574,East Central Energy,WI,2012,9, 400.54 ," 2,580.20 "," 4,760 ", 53.31 , 444.33 , 274 , -   , -   , -   , -   , -   , -   , 453.85 ," 3,024.53 "," 5,034 "
11479,Madison Gas & Electric Co,WI,2012,9," 10,680.00 "," 64,567.00 "," 123,979 "," 21,339.00 "," 186,144.00 "," 19,720 "," 1,594.00 "," 19,177.00 ", 44 , -   , -   , -   ," 33,613.00 "," 269,888.00 "," 143,743 "
